NAME, LAT, LON, ELEV
Baker, 48.7767982, -121.8109970, 3285
Glacier Peak, 48.1118011, -121.1110001, 3213
Rainier, 46.8698006, -121.7509995, 4392
St. Helens, 46.1997986, -122.1809998, 2549
Adams, 46.2057991, -121.4909973, 3742
West Crater, 45.8797989, -122.0810013, 1329
Indian Heaven, 45.9297981, -121.8209991, 1806
Hood, 45.3737984, -121.6910019, 3426
Jefferson, 44.6917992, -121.8010025, 3199
Blue Lake Crater, 44.4197998, -121.7710037, 1230
Sand Mountain Field, 44.3797989, -121.9309998, 1664
Washington, 44.3317986, -121.8310013, 2376
Belknap, 44.2848015, -121.8410034, 2095
North Sister Field, 44.1697998, -121.7710037, 3074
South Sister, 44.0998001, -121.7710037, 3157
Bachelor, 43.9788017, -121.6809998, 2763
Newberry Volcano, 43.7218018, -121.2210007, 2434
Davis Lake, 43.5698013, -121.8209991, 2163
Devils Garden, 43.5119019, -120.8610001, 1698
Cinnamon Butte, 43.240799, -122.1009979, 1956
